Date,Positive Cases,Deaths,Recovered,Hospitalized,Active Cases,Hospitalized_currently,entered_hospital
3/8/2020,,,,1,,,1
3/9/2020,0,0,0,,0,,
3/10/2020,5,1,0,,4,,
3/11/2020,8,1,0,,7,,
3/12/2020,8,1,0,,7,,
3/13/2020,9,1,0,,8,,
3/14/2020,9,1,0,,8,,
3/15/2020,9,1,0,,8,,
3/16/2020,10,1,0,,9,,
3/17/2020,11,1,0,,10,,
3/18/2020,11,1,0,,10,,
3/19/2020,14,1,0,,13,,
3/20/2020,14,1,0,4,13,,3
3/21/2020,14,1,0,,13,,
3/22/2020,21,1,0,5,20,,1
3/23/2020,28,1,6,6,21,,1
3/24/2020,30,1,8,7,21,,1
3/25/2020,41,1,13,9,27,,2
3/26/2020,46,1,16,10,29,,1
3/27/2020,58,1,21,12,36,,2
3/28/2020,68,1,26,,41,,
3/29/2020,90,1,29,13,60,,1
3/30/2020,101,1,34,14,66,,1
3/31/2020,108,1,44,16,63,,2
4/1/2020,129,2,51,19,76,,3
4/2/2020,165,2,57,20,106,,1
4/3/2020,187,2,69,21,116,,1
4/4/2020,212,2,76,,134,,
4/5/2020,240,2,84,22,154,,1
4/6/2020,288,4,91,23,193,,1
4/7/2020,320,6,98,26,216,,3
4/8/2020,393,6,146,32,241,,6
4/9/2020,447,6,161,36,280,,4
4/10/2020,536,6,177,42,353,,6
4/11/2020,626,6,189,47,431,,5
4/12/2020,730,6,197,49,527,,2
4/13/2020,868,6,207,55,655,,6
4/14/2020,988,6,261,61,721,,6
4/15/2020,1168,6,329,66,833,,5
4/16/2020,1311,7,373,78,931,,12
4/17/2020,1411,7,457,83,947,,5
4/18/2020,1542,7,552,93,983,,10
4/19/2020,1635,7,646,103,982,,10
4/20/2020,1685,7,709,114,969,56,11
4/21/2020,1754,9,824,119,921,65,5
4/22/2020,1858,9,937,125,912,62,6
4/23/2020,1956,9,1064,135,883,58,10
4/24/2020,2040,10,1190,145,840,61,10
4/25/2020,2147,10,1223,149,914,61,4
4/26/2020,2212,11,1257,155,944,64,6
4/27/2020,2245,11,1316,162,918,61,7
4/28/2020,2313,11,1392,167,910,69,5
4/29/2020,2373,13,1492,171,868,69,4
4/30/2020,2449,17,1573,175,859,76,4
5/1/2020,2525,21,1686,177,818,69,2
5/2/2020,2588,21,1759,187,808,71,
5/3/2020,2631,21,1799,197,811,71,
5/4/2020,2668,21,1830,211,817,69,
5/5/2020,2721,24,1895,220,802,75,
5/6/2020,2779,29,1977,230,773,72,
5/7/2020,2905,31,2028,236,846,70,
5/8/2020,3144,31,2069,247,1044,76,
5/9/2020,3393,34,2125,253,1234,79,
5/10/2020,3517,34,2147,261,1336,77,
5/11/2020,3614,34,2187,263,1393,78,
5/12/2020,3663,39,2309,271,1315,74,
5/13/2020,3732,39,2367,281,1326,79,
5/14/2020,3792,43,2437,290,1312,85,
5/15/2020,3887,44,2574,296,1269,80,
5/16/2020,3959,44,2673,304,1242,75,
5/17/2020,3987,44,2724,312,1219,77,
5/18/2020,4027,44,2784,316,1199,77,
5/19/2020,4085,46,2914,327,1125,75,
5/20/2020,4177,46,3023,333,1108,81,
5/21/2020,4250,48,3145,342,1057,91,
5/22/2020,4356,50,3267,351,1039,83,
5/23/2020,4468,50,3336,358,1082,90,
